,name,boardgamehonor_cnt,yearpublished
48,7 Wonders,50,2010
81,Dominion,41,2008
82,Pandemic,34,2008
28,Agricola,32,2007
221,Small World,30,2009
40,Azul,28,2017
65,Codenames XXL,27,2015
240,Dixit,27,2008
92,Stone Age,26,2008
0,Gloomhaven,23,2017
250,Love Letter,23,2012
9,Scythe,23,2016
13,Terra Mystica,22,2012
274,King of Tokyo,22,2011
554,The Mind,22,2018
135,Village,21,2011
37,Tzolk'in  The Mayan Calendar,21,2012
2,Terraforming Mars,20,2016
1,Pandemic Legacy  Season 1,20,2015
41,Le Havre,20,2008
259,The Pillars of the Earth,20,2006
38,Root,20,2018
392,Thurn and Taxis,19,2006
284,Fresco,19,2010
21,Puerto Rico,18,2002
10,Great Western Trail,18,2016
350,Colt Express,18,2014
39,Eclipse,17,2011
244,Takenoko,17,2011
53,Caylus Premium Limited Edition,17,2005
