,name,max_community,totalvotes
160,Carcassonne,5.0,1868
48,7 Wonders,7.0,1834
28,Agricola,5.0,1771
81,Dominion,4.0,1594
82,Pandemic,4.0,1514
352,The Settlers of Catan,4.0,1409
21,Puerto Rico,5.0,1380
2,Terraforming Mars,4.0,1252
33,Power Grid (Recharged Version),6.0,1107
14,The Castles of Burgundy,4.0,1037
370,Citadels Classic,7.0,1031
285,Arkham Horror,6.0,1021
23,Mage Knight Board Game,3.0,1004
49,Race for the Galaxy,4.0,997
64,Battlestar Galactica  The Board Game,6.0,959
221,Small World,5.0,859
250,Love Letter,4.0,854
65,Codenames XXL,7.473271667790937,837
9,Scythe,5.0,834
0,Gloomhaven,4.0,827
104,A Game of Thrones  The Board Game (Second Edition),6.0,822
92,Stone Age,4.0,803
13,Terra Mystica,5.0,789
274,King of Tokyo,6.0,728
6,Twilight Struggle,2.0,695
53,Caylus Premium Limited Edition,5.0,694
41,Le Havre,4.0,683
107,Ticket to Ride  Europe,5.0,678
35,Through the Ages  A Story of Civilization,4.0,666
45,Robinson Crusoe  Adventures on the Cursed Island,4.0,665
